Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.8477765321731567,0.13636364042758942,1.6560535430908203,0.25
2,1.6724951267242432,0.22727273404598236,1.7911150455474854,0.25
3,1.6437836488087971,0.27272728085517883,1.9219850301742554,0.0
4,1.6153877973556519,0.27272728085517883,1.9625215530395508,0.0
5,1.6196677287419636,0.27272728085517883,2.013619899749756,0.0
6,1.6097099383672078,0.27272728085517883,2.007495403289795,0.0
7,1.5894379615783691,0.27272728085517883,1.9965934753417969,0.0
8,1.5794517199198406,0.27272728085517883,1.9933521747589111,0.0
9,1.5692259073257446,0.27272728085517883,1.995626449584961,0.0
10,1.5587533315022786,0.22727273404598236,1.977919101715088,0.0
11,1.564496596654256,0.3181818127632141,1.956972599029541,0.0
