Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.7076329754244897,0.2160194218158722,1.5840899745623271,0.19512194395065308
2,1.2788485130956095,0.4166666567325592,1.2670141259829204,0.3414634168148041
3,1.037888918768975,0.45388349890708923,1.1857505838076274,0.4146341383457184
4,1.015770871408524,0.48948219418525696,1.6588124930858612,0.26829269528388977
5,1.0520468138879346,0.4789643883705139,1.2476146916548412,0.26829269528388977
6,1.0474910320774202,0.533171534538269,1.4564130504926045,0.46341463923454285
7,0.9644596668981736,0.5671520829200745,1.1781514485677083,0.4390243887901306
8,1.0339215378607474,0.5558252334594727,1.4506791134675343,0.3658536672592163
9,0.946549730339358,0.5550161600112915,0.9752044280370077,0.4146341383457184
10,0.7935036882277458,0.606796145439148,1.0259224673112233,0.4146341383457184
11,0.732109324970553,0.6407766938209534,1.0873777369658153,0.4146341383457184
12,0.6858314237286968,0.6529126167297363,0.9383311371008555,0.39024388790130615
13,0.7221555450270253,0.6197410821914673,1.0559358795483906,0.46341463923454285
14,0.7482736356796756,0.6302589178085327,0.8990092972914377,0.5121951103210449
15,0.6726758170512415,0.6682847738265991,0.8289228727420171,0.5121951103210449
16,0.561644914650148,0.737864077091217,0.8966872331996759,0.4878048896789551
17,0.615532765657671,0.6957928538322449,1.1379164854685466,0.4146341383457184
18,0.5710739795238741,0.7297734618186951,1.0297571687648694,0.46341463923454285
19,0.5481814289285291,0.7475728392601013,0.9771437151357532,0.5121951103210449
20,0.7324905534905772,0.7111650705337524,1.0551512241363525,0.4390243887901306
21,0.9508878967454356,0.6755663156509399,0.9016143952806791,0.4878048896789551
22,0.6102351453996474,0.733818769454956,0.8642920491596063,0.5121951103210449
23,0.5039160783252409,0.7451456189155579,0.8246748596429825,0.5365853905677795
24,0.4917232471127664,0.7605177760124207,0.8430920764803886,0.5609756112098694
25,0.4609224314651182,0.7702265381813049,0.8918854184448719,0.5365853905677795
26,0.4384223475090919,0.7702265381813049,0.9198847347870469,0.5365853905677795
27,0.424588313218086,0.7791262269020081,0.9413100952903429,0.5365853905677795
28,0.43056773408766713,0.7977346181869507,0.9487251831839482,0.5121951103210449
29,0.4000842270831908,0.8050161600112915,0.974296064581722,0.5365853905677795
30,0.42582934301707054,0.8058252334594727,0.9933993665811917,0.5853658318519592
31,0.4006880683283652,0.8009708523750305,0.6805007016907135,0.6585366129875183
32,0.5786668796693125,0.7386731505393982,0.7080349707199881,0.6097561120986938
33,0.6639696919629651,0.716828465461731,0.9554175597537929,0.5121951103210449
34,0.42886373001721595,0.8082524538040161,0.8341366428261002,0.5365853905677795
35,0.38384622176808697,0.803398072719574,0.8082007353271669,0.6829268336296082
36,0.38117635889399437,0.8244336843490601,0.8555515566064665,0.5609756112098694
37,0.37737197616407947,0.8042071461677551,0.7898748392860094,0.5365853905677795
38,0.39479080097329233,0.799352765083313,0.8497525074829658,0.5365853905677795
39,0.3688821103784346,0.8341423869132996,0.8909466284870481,0.6097561120986938
40,0.46881725499706883,0.7888349294662476,0.9395639797439799,0.5365853905677795
41,0.3529373420823005,0.8276699185371399,0.8922321006345252,0.6341463327407837
