Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.784816451072693,0.2319587618112564,1.850800613562266,0.19512194395065308
2,1.7366319847106935,0.25773194432258606,1.8610054055849712,0.2195121943950653
3,1.7335802173614503,0.2835051417350769,1.8533825278282166,0.19512194395065308
4,1.7276416873931886,0.27835050225257874,1.8460176189740498,0.2195121943950653
5,1.69497633934021,0.2989690601825714,1.8192326029141743,0.2195121943950653
6,1.701036081314087,0.27319586277008057,1.854874849319458,0.2195121943950653
7,1.7018964242935182,0.2989690601825714,1.842223087946574,0.19512194395065308
8,1.6971471405029297,0.2886597812175751,1.857171356678009,0.2195121943950653
9,1.68051082611084,0.2989690601825714,1.8489168286323547,0.1463414579629898
10,1.6837534141540527,0.3144329786300659,1.841813047726949,0.19512194395065308
11,1.6976627683639527,0.2835051417350769,1.8523393472035725,0.19512194395065308
12,1.6850012588500975,0.2886597812175751,1.8618356188138325,0.19512194395065308
13,1.6936749887466431,0.26288658380508423,1.8382107019424438,0.19512194395065308
14,1.665065622329712,0.3041236996650696,1.84340900182724,0.2195121943950653
15,1.665076231956482,0.27835050225257874,1.8464939594268799,0.2195121943950653
