Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.8067745765050252,0.1818181872367859,1.859175205230713,0.0
2,1.789606014887492,0.22727273404598236,1.8740012645721436,0.0
3,1.7788254022598267,0.22727273404598236,1.8921637535095215,0.0
4,1.7700529495875041,0.27272728085517883,1.9125512838363647,0.0
5,1.7495574156443279,0.27272728085517883,1.9348163604736328,0.0
6,1.7284006675084431,0.22727273404598236,1.9566248655319214,0.0
7,1.721992293993632,0.3181818127632141,1.9802039861679077,0.0
8,1.6879399220148723,0.3181818127632141,2.003638982772827,0.0
9,1.658724586168925,0.3181818127632141,2.0258371829986572,0.0
10,1.632826566696167,0.3181818127632141,2.055034875869751,0.0
11,1.6319794654846191,0.3181818127632141,2.089261054992676,0.0
